label,uri
1d-interleaved-parityfec,https://www.iana.org/assignments/media-types/application/1d-interleaved-parityfec
3gpdash-qoe-report+xml,https://www.iana.org/assignments/media-types/application/3gpdash-qoe-report+xml
3gpp-ims+xml,https://www.iana.org/assignments/media-types/application/3gpp-ims+xml
A2L,https://www.iana.org/assignments/media-types/application/A2L
activemessage,https://www.iana.org/assignments/media-types/application/activemessage
activity+json,https://www.iana.org/assignments/media-types/application/activity+json
alto-costmap+json,https://www.iana.org/assignments/media-types/application/alto-costmap+json
alto-costmapfilter+json,https://www.iana.org/assignments/media-types/application/alto-costmapfilter+json
alto-directory+json,https://www.iana.org/assignments/media-types/application/alto-directory+json
alto-endpointprop+json,https://www.iana.org/assignments/media-types/application/alto-endpointprop+json
alto-endpointpropparams+json,https://www.iana.org/assignments/media-types/application/alto-endpointpropparams+json
alto-endpointcost+json,https://www.iana.org/assignments/media-types/application/alto-endpointcost+json
alto-endpointcostparams+json,https://www.iana.org/assignments/media-types/application/alto-endpointcostparams+json
alto-error+json,https://www.iana.org/assignments/media-types/application/alto-error+json
alto-networkmapfilter+json,https://www.iana.org/assignments/media-types/application/alto-networkmapfilter+json
alto-networkmap+json,https://www.iana.org/assignments/media-types/application/alto-networkmap+json
alto-updatestreamcontrol+json,https://www.iana.org/assignments/media-types/application/alto-updatestreamcontrol+json
alto-updatestreamparams+json,https://www.iana.org/assignments/media-types/application/alto-updatestreamparams+json
AML,https://www.iana.org/assignments/media-types/application/AML
andrew-inset,https://www.iana.org/assignments/media-types/application/andrew-inset
applefile,https://www.iana.org/assignments/media-types/application/applefile
ATF,https://www.iana.org/assignments/media-types/application/ATF
ATFX,https://www.iana.org/assignments/media-types/application/ATFX
atom+xml,https://www.iana.org/assignments/media-types/application/atom+xml
atomcat+xml,https://www.iana.org/assignments/media-types/application/atomcat+xml
atomdeleted+xml,https://www.iana.org/assignments/media-types/application/atomdeleted+xml
atomicmail,https://www.iana.org/assignments/media-types/application/atomicmail
atomsvc+xml,https://www.iana.org/assignments/media-types/application/atomsvc+xml
atsc-dwd+xml,https://www.iana.org/assignments/media-types/application/atsc-dwd+xml
atsc-dynamic-event-message,https://www.iana.org/assignments/media-types/application/atsc-dynamic-event-message
atsc-held+xml,https://www.iana.org/assignments/media-types/application/atsc-held+xml
atsc-rdt+json,https://www.iana.org/assignments/media-types/application/atsc-rdt+json
atsc-rsat+xml,https://www.iana.org/assignments/media-types/application/atsc-rsat+xml
ATXML,https://www.iana.org/assignments/media-types/application/ATXML
auth-policy+xml,https://www.iana.org/assignments/media-types/application/auth-policy+xml
bacnet-xdd+zip,https://www.iana.org/assignments/media-types/application/bacnet-xdd+zip
